Year,Temp,Day
2008-2009,T>=16C,121.83
2009-2010,T>=16C,122.32
2010-2011,T>=16C,117.09
2011-2012,T>=16C,130.75
2012-2013,T>=16C,128.51
2013-2014,T>=16C,115.16
2014-2015,T>=16C,103.01
2015-2016,T>=16C,177.18
2016-2017,T>=16C,140.26
2017-2018,T>=16C,106.88
2018-2019,T>=16C,NA
2019-2020,T>=16C,153.03
2008-2009,T<16C,42.81944444
2009-2010,T<16C,33.98611111
2010-2011,T<16C,63.08333333
2011-2012,T<16C,51.24305556
2012-2013,T<16C,52.48611111
2013-2014,T<16C,65.61805556
2014-2015,T<16C,77.98611111
2015-2016,T<16C,3.611111111
2016-2017,T<16C,40.59027778
2017-2018,T<16C,59.17361111
2018-2019,T<16C,
2019-2020,T<16C,28.91666667
