,Date,ElapsedDay,mean_wtemp
1,2008/1/1,1,15.71847222
2,2008/1/2,2,15.86111111
3,2008/1/3,3,15.70263889
4,2008/1/4,4,15.55902778
5,2008/1/5,5,14.7475
6,2008/1/6,6,15.24368056
7,2008/1/7,7,15.51138889
8,2008/1/8,8,15.17736111
9,2008/1/9,9,15.01298611
10,2008/1/10,10,15.10881944
11,2008/1/11,11,15.91444444
12,2008/1/12,12,15.82180556
13,2008/1/13,13,15.20944444
14,2008/1/14,14,15.33076389
15,2008/1/15,15,15.37888889
16,2008/1/16,16,15.70048611
17,2008/1/17,17,15.20201389
18,2008/1/18,18,15.005625
19,2008/1/19,19,15.32611111
20,2008/1/20,20,14.55340278
21,2008/1/21,21,14.94993056
22,2008/1/22,22,15.02444444
23,2008/1/23,23,15.01965278
24,2008/1/24,24,14.42458333
25,2008/1/25,25,14.74979167
26,2008/1/26,26,14.32111111
27,2008/1/27,27,14.406875
28,2008/1/28,28,14.63055556
29,2008/1/29,29,14.56048611
30,2008/1/30,30,13.93902778
31,2008/1/31,31,14.94166667
32,2008/2/1,32,14.78881944
33,2008/2/2,33,13.90715278
34,2008/2/3,34,14.09215278
35,2008/2/4,35,13.73736111
36,2008/2/5,36,13.66847222
37,2008/2/6,37,14.00083333
38,2008/2/7,38,13.71902778
39,2008/2/8,39,14.27659722
40,2008/2/9,40,14.09708333
41,2008/2/10,41,14.06368056
42,2008/2/11,42,14.24571429
43,2008/2/12,43,13.90261538
44,2008/2/13,44,13.6304
45,2008/2/14,45,14.29917647
46,2008/2/15,46,NA
47,2008/2/16,47,NA
48,2008/2/17,48,NA
49,2008/2/18,49,NA
50,2008/2/19,50,14.11603053
51,2008/2/20,51,14.11279412
52,2008/2/21,52,NA
53,2008/2/22,53,NA
54,2008/2/23,54,NA
55,2008/2/24,55,NA
56,2008/2/25,56,NA
57,2008/2/26,57,NA
58,2008/2/27,58,NA
59,2008/2/28,59,NA
60,2008/2/29,60,NA
61,2008/3/1,61,NA
62,2008/3/2,62,NA
63,2008/3/3,63,NA
64,2008/3/4,64,NA
65,2008/3/5,65,NA
66,2008/3/6,66,NA
67,2008/3/7,67,NA
68,2008/3/8,68,NA
69,2008/3/9,69,NA
70,2008/3/10,70,NA
71,2008/3/11,71,NA
72,2008/3/12,72,NA
73,2008/3/13,73,NA
74,2008/3/14,74,14.11206349
75,2008/3/15,75,14.60847222
76,2008/3/16,76,14.85916667
77,2008/3/17,77,14.90520833
78,2008/3/18,78,14.83243056
79,2008/3/19,79,14.58666667
80,2008/3/20,80,14.62354167
81,2008/3/21,81,14.62159722
82,2008/3/22,82,14.45465278
83,2008/3/23,83,14.93555556
84,2008/3/24,84,16.55354167
85,2008/3/25,85,16.80083333
86,2008/3/26,86,17.53701389
87,2008/3/27,87,17.36736111
88,2008/3/28,88,17.34701389
89,2008/3/29,89,17.1025
90,2008/3/30,90,16.88305556
91,2008/3/31,91,16.35270833
92,2008/4/1,92,16.51972222
93,2008/4/2,93,16.39618056
94,2008/4/3,94,16.27583333
95,2008/4/4,95,16.27409722
96,2008/4/5,96,16.08965278
97,2008/4/6,97,16.16986111
98,2008/4/7,98,15.69465278
99,2008/4/8,99,15.23361111
100,2008/4/9,100,15.21625
101,2008/4/10,101,14.81541667
102,2008/4/11,102,15.12173611
103,2008/4/12,103,15.25451389
104,2008/4/13,104,15.18930556
105,2008/4/14,105,15.06479167
106,2008/4/15,106,15.32659722
107,2008/4/16,107,15.71340278
108,2008/4/17,108,16.20638889
109,2008/4/18,109,15.62534722
110,2008/4/19,110,15.76826389
111,2008/4/20,111,16.07118056
112,2008/4/21,112,16.79534722
113,2008/4/22,113,18.80972222
114,2008/4/23,114,18.63708333
115,2008/4/24,115,18.53659722
116,2008/4/25,116,18.65069444
117,2008/4/26,117,18.18451389
118,2008/4/27,118,18.23416667
119,2008/4/28,119,18.38069444
120,2008/4/29,120,18.54611111
121,2008/4/30,121,18.70756944
122,2008/5/1,122,18.88597222
123,2008/5/2,123,18.88465278
124,2008/5/3,124,18.915
125,2008/5/4,125,19.07041667
126,2008/5/5,126,19.16916667
127,2008/5/6,127,19.15527778
128,2008/5/7,128,19.61993056
129,2008/5/8,129,19.41895833
130,2008/5/9,130,19.24555556
131,2008/5/10,131,18.38465278
132,2008/5/11,132,17.98479167
133,2008/5/12,133,17.61690647
134,2008/5/13,134,17.52048611
135,2008/5/14,135,17.36527778
136,2008/5/15,136,17.94520833
137,2008/5/16,137,18.40111111
138,2008/5/17,138,19.19229167
139,2008/5/18,139,19.12458333
140,2008/5/19,140,19.27145833
141,2008/5/20,141,19.31555556
142,2008/5/21,142,20.10638889
143,2008/5/22,143,20.42854167
144,2008/5/23,144,20.61652778
145,2008/5/24,145,20.26743056
146,2008/5/25,146,20.73354167
147,2008/5/26,147,21.37166667
148,2008/5/27,148,21.3475
149,2008/5/28,149,21.33826389
150,2008/5/29,150,20.71166667
151,2008/5/30,151,20.61423611
152,2008/5/31,152,19.95131944
153,2008/6/1,153,19.95993056
154,2008/6/2,154,19.785625
155,2008/6/3,155,19.50048611
156,2008/6/4,156,19.55652778
157,2008/6/5,157,19.76479167
158,2008/6/6,158,19.99583333
159,2008/6/7,159,20.47944444
160,2008/6/8,160,20.399375
161,2008/6/9,161,20.47340278
162,2008/6/10,162,20.71833333
163,2008/6/11,163,20.93354167
164,2008/6/12,164,21.10541667
165,2008/6/13,165,21.49451389
166,2008/6/14,166,21.53472222
167,2008/6/15,167,21.15194444
168,2008/6/16,168,21.116875
169,2008/6/17,169,21.74652778
170,2008/6/18,170,22.41826389
171,2008/6/19,171,22.03597222
172,2008/6/20,172,21.72090278
173,2008/6/21,173,22.07513889
174,2008/6/22,174,21.97479167
175,2008/6/23,175,21.57895833
176,2008/6/24,176,22.35708333
177,2008/6/25,177,21.55909722
178,2008/6/26,178,20.78319444
179,2008/6/27,179,20.84534722
180,2008/6/28,180,21.07020833
181,2008/6/29,181,20.73069444
182,2008/6/30,182,20.76076389
183,2008/7/1,183,20.98784722
184,2008/7/2,184,21.33506944
185,2008/7/3,185,20.94555556
186,2008/7/4,186,21.36604167
187,2008/7/5,187,22.15069444
188,2008/7/6,188,23.74715278
189,2008/7/7,189,23.003125
190,2008/7/8,190,22.52666667
191,2008/7/9,191,22.23784722
192,2008/7/10,192,22.02270833
193,2008/7/11,193,22.84076389
194,2008/7/12,194,23.53375
195,2008/7/13,195,24.63493056
196,2008/7/14,196,25.25340278
197,2008/7/15,197,25.12784722
198,2008/7/16,198,24.03201389
199,2008/7/17,199,25.14493056
200,2008/7/18,200,24.68881944
201,2008/7/19,201,25.37618056
202,2008/7/20,202,25.39486111
203,2008/7/21,203,25.70520833
204,2008/7/22,204,25.38277778
205,2008/7/23,205,25.03972222
206,2008/7/24,206,26.25576389
207,2008/7/25,207,26.44479167
208,2008/7/26,208,27.123125
209,2008/7/27,209,27.37958333
210,2008/7/28,210,27.60736111
211,2008/7/29,211,27.66784722
212,2008/7/30,212,27.59861111
213,2008/7/31,213,27.34166667
214,2008/8/1,214,26.82125
215,2008/8/2,215,26.39335714
