Year,Species,Catch
2000,Siganus fuscescens,0.8
2001,Siganus fuscescens,0
2002,Siganus fuscescens,0
2003,Siganus fuscescens,0
2004,Siganus fuscescens,0
2005,Siganus fuscescens,0
2006,Siganus fuscescens,16.5
2007,Siganus fuscescens,0.9
2008,Siganus fuscescens,3
2009,Siganus fuscescens,28.3
2010,Siganus fuscescens,32.6
2011,Siganus fuscescens,281.5
2012,Siganus fuscescens,153.7
2013,Siganus fuscescens,678.1
2014,Siganus fuscescens,1220
2015,Siganus fuscescens,2728.6
2016,Siganus fuscescens,263.2
2017,Siganus fuscescens,168.7
2018,Siganus fuscescens,96.7
2019,Siganus fuscescens,508.8
2020,Siganus fuscescens,234.1
2000,Calotomus japonicus,86.5
2001,Calotomus japonicus,58.9
2002,Calotomus japonicus,101
2003,Calotomus japonicus,233.3
2004,Calotomus japonicus,96.4
2005,Calotomus japonicus,54.3
2006,Calotomus japonicus,189.5
2007,Calotomus japonicus,165.6
2008,Calotomus japonicus,97.8
2009,Calotomus japonicus,166.8
2010,Calotomus japonicus,91
2011,Calotomus japonicus,88.9
2012,Calotomus japonicus,75.5
2013,Calotomus japonicus,75.6
2014,Calotomus japonicus,29.8
2015,Calotomus japonicus,46.6
2016,Calotomus japonicus,36.8
2017,Calotomus japonicus,68.7
2018,Calotomus japonicus,50.3
2019,Calotomus japonicus,64.2
2020,Calotomus japonicus,70.7
2000,Prionurus scalprum,198
2001,Prionurus scalprum,1192
2002,Prionurus scalprum,128.7
2003,Prionurus scalprum,78.3
2004,Prionurus scalprum,661
2005,Prionurus scalprum,570
2006,Prionurus scalprum,659.8
2007,Prionurus scalprum,141.9
2008,Prionurus scalprum,124.8
2009,Prionurus scalprum,94.9
2010,Prionurus scalprum,826.4
2011,Prionurus scalprum,38.9
2012,Prionurus scalprum,180.7
2013,Prionurus scalprum,697.8
2014,Prionurus scalprum,109.7
2015,Prionurus scalprum,977.9
2016,Prionurus scalprum,345.9
2017,Prionurus scalprum,989.1
2018,Prionurus scalprum,366.1
2019,Prionurus scalprum,1244.8
2020,Prionurus scalprum,1075
2000,Girella punctata,1789.9
2001,Girella punctata,2212.4
2002,Girella punctata,3358.4
2003,Girella punctata,3155.5
2004,Girella punctata,3007
2005,Girella punctata,1938.1
2006,Girella punctata,1891.8
2007,Girella punctata,1285.1
2008,Girella punctata,3438.1
2009,Girella punctata,6380.2
2010,Girella punctata,9460.7
2011,Girella punctata,6741.5
2012,Girella punctata,10018.5
2013,Girella punctata,13639
2014,Girella punctata,7153.9
2015,Girella punctata,7003.1
2016,Girella punctata,9353.1
2017,Girella punctata,7472.3
2018,Girella punctata,9998.3
2019,Girella punctata,9467.6
2020,Girella punctata,7943
