Sample,Year,Line
2019M4-09,2019,M4
2019M4-10,2019,M4
2019M4-11,2019,M4
2019M4-12,2019,M4
2019M4-13,2019,M4
2019M4-14,2019,M4
2019M4-15,2019,M4
2019M4-16,2019,M4
2019M4-17,2019,M4
2019M4-18,2019,M4
2019M4-19,2019,M4
2019M7-09,2019,M7
2019M7-10,2019,M7
2019M7-11,2019,M7
2019M7-12,2019,M7
2019M7-13,2019,M7
2019M7-14,2019,M7
2019M7-15,2019,M7
2019M7-16,2019,M7
2019M7-17,2019,M7
2019M7-18,2019,M7
2019M7-19,2019,M7
2020M4-09,2020,M4
2020M4-10,2020,M4
2020M4-11,2020,M4
2020M4-12,2020,M4
2020M4-13,2020,M4
2020M4-14,2020,M4
2020M4-15,2020,M4
2020M4-16,2020,M4
2020M4-17,2020,M4
2020M4-18,2020,M4
2020M4-19,2020,M4
2020M7-09,2020,M7
2020M7-10,2020,M7
2020M7-11,2020,M7
2020M7-12,2020,M7
2020M7-13,2020,M7
2020M7-14,2020,M7
2020M7-15,2020,M7
2020M7-16,2020,M7
2020M7-17,2020,M7
2020M7-18,2020,M7
2020M7-19,2020,M7
