Year,Month,date_UTC,Time_UTC,DateTime_UTC,Typhoon_number,Typhoon name,Class,Lat,Long,Pressure_hpa,Pressure_hpa,MaxWindVel_knot,50KT_LongDiaDir,50KT_LongDia,50KT_ShortDia,30KT_LongDiaDir,30KT_LongDia,30KT_ShortDiaDir,Landfall
2018,12,31,6,12/31/18 6:00,1901,PABUK,2,7.6,111.9,1004,1004hpa,0,0,0,0,0,0,0,0
2018,12,31,12,12/31/18 12:00,1901,PABUK,2,7.3,111.3,1004,1004hpa,0,0,0,0,0,0,0,0
2018,12,31,18,12/31/18 18:00,1901,PABUK,2,7,111.1,1004,1004hpa,0,0,0,0,0,0,0,0
2019,1,1,0,2001/1/19 0:00,1901,PABUK,2,6.6,110.7,1004,1004hpa,0,0,0,0,0,0,0,0
2019,1,1,6,2001/1/19 6:00,1901,PABUK,3,6.3,110.2,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,1,12,2001/1/19 12:00,1901,PABUK,3,6,109.9,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,1,18,2001/1/19 18:00,1901,PABUK,3,5.8,109.5,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,2,0,2001/2/19 0:00,1901,PABUK,3,5.9,108.6,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,2,6,2001/2/19 6:00,1901,PABUK,3,6.2,108,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,2,12,2001/2/19 12:00,1901,PABUK,3,6.3,107,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,2,18,2001/2/19 18:00,1901,PABUK,3,6,105.8,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,3,0,2001/3/19 0:00,1901,PABUK,3,5.8,105,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,3,6,2001/3/19 6:00,1901,PABUK,3,6.1,104.1,1000,1000hpa,35,0,0,0,7,180,120,0
2019,1,3,12,2001/3/19 12:00,1901,PABUK,3,6.8,103.4,998,998hpa,40,0,0,0,7,180,120,0
2019,1,3,18,2001/3/19 18:00,1901,PABUK,3,7.5,102.5,996,996hpa,45,0,0,0,7,180,120,0
2019,1,4,0,2001/4/19 0:00,1901,PABUK,3,7.9,101.5,996,996hpa,45,0,0,0,8,180,90,0
2019,1,4,6,2001/4/19 6:00,1901,PABUK,3,8.1,100.8,996,996hpa,45,0,0,0,8,180,90,0
2019,1,4,12,2001/4/19 12:00,1901,PABUK,3,8.2,100.1,1000,1000hpa,40,0,0,0,1,120,60,0
2019,1,4,18,2001/4/19 18:00,1901,PABUK,2,8.4,99.4,1006,1006hpa,0,0,0,0,0,0,0,0
2019,2,18,12,2/18/19 12:00,1902,WUTIP,2,4.7,162.5,1006,1006hpa,0,0,0,0,0,0,0,0
2019,2,18,18,2/18/19 18:00,1902,WUTIP,2,4.8,161.2,1004,1004hpa,0,0,0,0,0,0,0,0
2019,2,19,0,2/19/19 0:00,1902,WUTIP,2,5.2,159.8,1006,1006hpa,0,0,0,0,0,0,0,0
